Politician,Top 10 Unique N-grams
jan-lipavsky,prahy 6 (6); bojovníků svobodu (4); praze 6 (4); magnitského zákon (3); výbor obranu (3); zahraničních investic (3); ruské propagandy (3); tajných služeb (3); prahy dnes (3); měl čest (3); maršála koněva (3); bychom neměli (3); pěti lety (3); lehkou váhu (3); nebuďme lhostejní (2); zeman číně (2); země oficiální (2); jde reakci (2); další osud (2); český berňák (2); svobodu internetu (2); václava klause (2); více můžete (2); pan nebeský (2); vybírá hotovosti (2); lidským právům (2); sochy koněva (2); ruské ambasády (2); všem voličům (2); voličům podporu (2); jejich oběť (2); finská novinářka (2); novinářka jessikka (2); přijatého rozhodnutí (2); ods top09 (2); říkáte mluvčí (2); mluvčí magistrátního (2); magistrátního klub (2); klub stan (2); stan top (2); 09 šárka (2); šárka kuželová (2); kuželová vlastní (2); všem voličům podporu (2); finská novinářka jessikka (2); říkáte mluvčí magistrátního (2); mluvčí magistrátního klub (2); magistrátního klub stan (2); klub stan top (2); stan top 09 (2); top 09 šárka (2); 09 šárka kuželová (2); šárka kuželová vlastní (2); kuželová vlastní firmu (2); vlastní firmu společně (2); firmu společně extremistou (2); vystupovačem eu stanislavem (2); eu stanislavem brunclíkem (2); magistrátních peněz chtěli (2); peněz chtěli nechat (2); mediální školení hodinové (2); školení hodinové sazbě (2); hodinové sazbě 6050 (2); sazbě 6050 kč (2); čtyř hlavních měst (2); sochy maršála koněva (2); svazu bojovníků svobodu (2); sněmovní výbor obranu (2); českým svazem bojovníků (2); svazem bojovníků svobodu (2)
jan-skopecek,zvýšení daní (21); ministryně schillerová (16); 40 mld (16); více viz (14); hnutím ano (13); době růstu (13); spotřební daně (12); hnutí ano čssd (12); hostem pořadu (11); zvyšovat daně (10); financí schillerová (10); ministryně financí schillerová (10); událostech komentářích (8); centralizaci unifikaci (8); daňové břemeno (8); unifikaci eu (8); budu hostem pořadu (8); vysoké daně (7); listopadu 1989 (7); vyšší daně (7); ekonomický růst (7); regulace lidských (7); lidských vztahů (7); regulace lidských vztahů (7); středočeské ods (6); poslanecký den (6); financí schillerovou (6); rezerv pojišťoven (6); nacistickým německem (6); nemá společného (6); ekonomického růstu (6); položení kytice (6); vlny eet (6); komentáře čt24 (6); nízké nezaměstnanosti (6); hostem pořadu události (6); centralizaci unifikaci eu (6); události komentáře čt24 (6); jiný než (5); návrhů jaké daně (5); česko čína příležitosti (5); čína příležitosti limity (5); nejvyšší daňové břemeno (5); státní regulace lidských (5); kvůli hnutí ano (5); paní ministryně schillerová (5); von der leyenové (5); koalice hnutí ano (5); česko čína příležitosti limity (5); státní regulace lidských vztahů (5); pořadu události komentáře čt24 (5); koalice hnutí ano čssd (5); premiér babiš ministryní (4); pořadatel svobodně rozhodl (4); svobodně rozhodl hostesky (4); rozhodl hostesky roky (4); hostesky roky funguje (4); roky funguje teď (4); funguje teď závodem (4); teď závodem nemá (4); závodem nemá společného (4); nemá společného vyvíjí (4); společného vyvíjí soukromého (4); vyvíjí soukromého pořadatele (4); soukromého pořadatele nátlak (4); pořadatele nátlak nebylo (4); nátlak nebylo tudíž (4); nebylo tudíž svoboda (4); tudíž svoboda pořadatele (4); svoboda pořadatele zpochybňována (4)
jan-zahradil,volíte čssd (10); dotaz volíte (9); dotaz volíte čssd (9); evropské politice (8); velký rozhovor (7); eu čínou (7); ostrej riff (7); volebních lídrů (7); mezinárodní obchod (6); nacionalistou čínským (6); čínským agentem (6); agentem nikoli (6); nikoli nicméně (6); nicméně pouze (6); pouze agentem (6); agentem čr (6); čr vztahům (6); vztahům eu (6); věnuji budu (6); budu věnovat (6); věnovat praktickém (6); praktickém pragmatickém (6); pragmatickém základě (6); dvě cesty (6); cesty číny (6); jestli chcete (6); chcete pocvičit (6); 100 lety (6); nacionalistou čínským agentem (6); čínským agentem nikoli (6); agentem nikoli nicméně (6); nikoli nicméně pouze (6); nicméně pouze agentem (6); pouze agentem čr (6); agentem čr vztahům (6); čr vztahům eu (6); vztahům eu čínou (6); věnuji budu věnovat (6); budu věnovat praktickém (6); věnovat praktickém pragmatickém (6); praktickém pragmatickém základě (6); jestli chcete pocvičit (6); nacionalistou čínským agentem nikoli (6); čínským agentem nikoli nicméně (6); agentem nikoli nicméně pouze (6); nikoli nicméně pouze agentem (6); nicméně pouze agentem čr (6); pouze agentem čr vztahům (6); agentem čr vztahům eu (6); čr vztahům eu čínou (6); věnuji budu věnovat praktickém (6); budu věnovat praktickém pragmatickém (6); věnovat praktickém pragmatickém základě (6); nacionalistou čínským agentem nikoli nicméně (6); čínským agentem nikoli nicméně pouze (6); agentem nikoli nicméně pouze agentem (6); nikoli nicméně pouze agentem čr (6); nicméně pouze agentem čr vztahům (6); pouze agentem čr vztahům eu (6); agentem čr vztahům eu čínou (6); věnuji budu věnovat praktickém pragmatickém (6); budu věnovat praktickém pragmatickém základě (6); evropských konzervativců (5); amp spol (5); čínou věnuji (5); číny neplatila (5); neplatila čínská (5); čínská strana (5); mezi eu (5); volného obchodu (5)
jana-cernochova,prahy 2 (17); olova střelivu (9); výdajů obranu (8); střelivu rybářském (8); výboru obranu (8); olova střelivu rybářském (8); obranu výši (7); výši 2 (7); mč praha (7); rybářském olůvku (7); výdajů obranu výši (7); výši 2 hdp (7); mč praha 2 (7); obranu výši 2 (6); střelivu rybářském olůvku (6); výdajů obranu výši 2 (6); obranu výši 2 hdp (6); olova střelivu rybářském olůvku (6); výdajů obranu výši 2 hdp (6); karlově náměstí (5); uzákonění výdajů (5); ministr obrany (5); zákazu olova (5); čest jejich (5); jejich památce (5); štábní praporčík (5); praporčík in (5); můžete zhlédnout (5); držení zbraní (5); štábní praporčík in (5); praporčík in memoriam (5); štábní praporčík in memoriam (5); klub ods (4); nikdy nezapomeneme (4); palných zbraní (4); 2 dnes (4); návrh uzákonění (4); mém dnešním (4); dnešním blogu (4); jejich službu (4); poslanecký klub ods (4); návrh uzákonění výdajů (4); uzákonění výdajů obranu (4); mém dnešním blogu (4); zákazu olova střelivu (4); poslaneckého klubu ods (4); návrh uzákonění výdajů obranu (4); uzákonění výdajů obranu výši (4); zákazu olova střelivu rybářském (4); návrh uzákonění výdajů obranu výši (4); uzákonění výdajů obranu výši 2 (4); ods dnes (3); znepokojení vzrůstajícími (3); vzrůstajícími tendencemi (3); tendencemi projevů (3); projevů antisemitismu (3); vyzval vládu (3); mezinárodním poli (3); zamítla návrh (3); záštitou starostky (3); starostky prahy (3); směrnice zbraních (3); zásadu proporcionality (3); věděl schválil (3); předkládáme návrh (3); našich občanů (3); fond solidarity (3); blog téma (3); každém rozpočtu (3); tomto ohledu (3)
jiri-dolejs,die linke (11); obchod strachem (7); konec světa (7); vědecký důkaz (6); konci světa (6); rozdil mezi (6); okupace 68 (5); vedecky dukaz (5); koncem světa (5); 30 letech (4); názor důkaz (4); socialni spravedlnosti (4); extinction rebellion (4); konci sveta (4); de iure (4); klimatické náboženství (4); rok 1989 (4); tady jde (4); role roa (3); nemá cenu (3); koněvovy sochy (3); důkaz apokalypsy (3); menší zlo (3); máte pocit (3); obou stranach (3); nota bene (3); srpen 1968 (3); porušení mezinárodního (3); mohou byt (3); in thüringen (3); mit der (3); obcanskou valku (3); 70 let (3); danovy balicek (3); zcela mimo (3); neni rec (3); cesky prumysl (3); strašení koncem (3); jestli vam (3); ma byt (3); některé věci (3); dass er (3); sto lety (3); was er (3); molekuly co2 (3); ceskou energetiku (3); vas problem (3); kdyz vam (3); vědeckých důkazech (3); rot rot (3); rot grun (3); für die (3); porušení mezinárodního práva (3); strašení koncem světa (3); rot rot grun (3); oddeleni faktu (2); kdyz dane (2); krytí důchodů (2); byste jí (2); vy uz (2); statniho rozpoctu (2); akademická půda (2); konce sveta (2); let zpozdeni (2); svet neni (2); pred 40 (2); 40 lety (2); muze mit (2); pred 40 lety (2); uloziste technicky detail (2)
jiri-drahos,hlavy státu (9); našeho vzdělávání (7); miloši zemanovi (7); 70 lety (7); komunistický režim (6); práci senátu (6); považuji velmi (6); václavském náměstí (6); dobře fungující (6); oblasti vzdělávání (6); praze 4 (5); někteří politici (5); kybernetickou bezpečnost (5); celou řadu (5); nesmíme nikdy (5); nikdy zapomenout (5); zcela nepřijatelné (5); první republiky (5); nesmíme nikdy zapomenout (5); celá řada (4); rád můžeme (4); velmi důležité (4); připomenout výročí (4); pedagogických fakultách (4); lety skončil (4); jejich památku (4); některých politiků (4); pevně doufám (4); protiústavní krok (4); někteří naši (4); naši politici (4); neměli bychom (4); silný zážitek (4); společně česko (4); více lidí (4); ústavu premiér (4); vyspělých zemí (4); jasný signál (4); nejen politice (4); třicet let (4); milošem zemanem (4); otevřeně bavit (4); komunistické strany (4); současné hlavy (4); někteří naši politici (4); současné hlavy státu (4); nesmírně statečná žena (4); ostravském domově slunečnice (3); předsedy poslanecké sněmovny (3); gratuluji zuzaně čaputové (3); boji proti nacistické (3); proti nacistické tyranii (3); spolku společně česko (3); stále více lidí (3); všech vyspělých zemí (3); navýšení platů učitelů (3); chování hlavy státu (3); žaloba ústavnímu soudu (3); demokracie platilo roce (3); pražského jara ochotně (3); jara ochotně asistovala (3); palce jim vyšla (3); jim vyšla kandidatura (3); petici zachování práv (3); českých občanů oblasti (3); občanů oblasti legálních (3); oblasti legálních zbraní (3); považuji krajně nevhodné (3); třicet let svobody (3); boji proti nacistické tyranii (3)
jiri-pospisil,stíhaného premiéra (8); trestně stíhaného (7); premiér měl (6); komise odpověď (5); odpověď 6 (5); 6 týdnů (5); svoboda demokracie (5); státním zastupitelství (5); komise odpověď 6 (5); odpověď 6 týdnů (5); komise odpověď 6 týdnů (5); kancléř mynář (4); nezávislost justice (4); marie benešové (4); český prezident (4); ničím jiným (4); jiným než (4); právním státě (4); celou věc (4); der leyenová (4); týdnů musíme (4); musíme počkat (4); další důvod (4); británie eu (4); zeman opět (4); vztahy mezi (4); ničím jiným než (4); 6 týdnů musíme (4); týdnů musíme počkat (4); velké británie eu (4); odpověď 6 týdnů musíme (4); 6 týdnů musíme počkat (4); komise odpověď 6 týdnů musíme (4); odpověď 6 týdnů musíme počkat (4); podle andreje (3); kvůli kauze (3); marii benešovou (3); zástupce pavla (3); babiš měl (3); zeman chce (3); podle andreje babiše (3); zástupce pavla zemana (3); miloš zeman chce (3); odchodu velké británie (3); miloš zeman opět (3); udání důvodu odvolat (3); důvodu odvolat nejvyššího (3); odvolat nejvyššího státního (3); odchodu velké británie eu (3); udání důvodu odvolat nejvyššího (3); důvodu odvolat nejvyššího státního (3); odvolat nejvyššího státního zástupce (3); udání důvodu odvolat nejvyššího státního (3); důvodu odvolat nejvyššího státního zástupce (3); pirátského poslance michálka (2); proti top 09 (2); krajský výbor top (2); výbor top 09 (2); top 09 jasně (2); 09 jasně řekl (2); jasně řekl nesouhlasí (2); hanou kordovou marvanovou (2); komunálních volbách praze (2); předsedkyní top 09 (2); ignoruje statisíce lidí (2); veřejně přes twitter (2); návrhu obžalobu premiéra (2); zdanění prázdných bytů (2); kauzy andreje babiše (2); bojovník proti komunismu (2)
karel-havlicek,pořadu rovinu (88); ministr průmyslu (69); správa železnic (68); programu covid (49); cen energií (48); státní organizace (48); ministra průmyslu (43); železnic státní (43); správa železnic státní (43); železnic státní organizace (43); správa železnic státní organizace (43); ceny energií (39); inovační strategie (39); ministerstvo průmyslu (38); ministerstvo průmyslu obchodu (38); pohonných hmot (36); covid nájemné (35); nová vláda (34); domácnosti firmy (34); vaše dotazy (32); for the (31); obnovitelné zdroje (29); opět živě (29); uzavřené provozovny (29); solární tunel (28); růstu cen (28); rovinu živě (28); country for (28); tisíc žádostí (28); ppp projekt (27); elektronická dálniční (27); the future (27); žádostí víc (27); program covid (27); for the future (27); žádostí víc než (27); rovinu dnes (26); úřad vlády čr (26); dálnice d4 (25); dálniční známka (25); elektronická dálniční známka (25); inovační strategii (24); velký zájem (24); covid kultura (23); fanoušek muziky (23); country for the (23); country for the future (23); nové dálnice (22); radě eu (22); energetický mix (22); energetické krize (22); velké množství (21); emisních povolenek (21); děkuji rozhovor (21); podle plánu (21); 32 km (21); aktuální stav (21); živě rovinu (21); množství dotazů (20); živě pořadu (20); živáč víkend (20); elektronické dálniční (20); těším vaše (20); živě pořadu rovinu (20); než mld kč (19); gastro uzavřené provozovny (19); elektronické dálniční známky (18); víc než mld (18); víc než mld kč (18); pátek nabízím nějaký (17)
katerina-valachova,dětských dluhů (38); 15 procent (20); občanského zákoníku (18); dětské dluhy (15); školského výboru (14); dlužnímu otroctví (14); pěkný den všem (11); zvýšení platů (10); druhá šance (10); fórum rodinné (10); rodinné politiky (10); fórum rodinné politiky (10); novely občanského (9); dluhovému otroctví (9); financování regionálního (9); regionálního školství (9); novely občanského zákoníku (9); financování regionálního školství (9); tří let (8); konec konců (8); mladí lidé (8); druhou šanci (8); dluhů dlužnímu (8); prohlášení vlády (8); dnes odpoledne (8); ministr plaga (8); dluhové pasti (8); plat učitele (8); učitelek učitelů (8); dluhů dlužnímu otroctví (8); další krok (7); zvaných dětských (7); velmi rychle (7); půdě poslanecké (7); splácení dluhů (7); učitelkám učitelům (7); placení dluhů (7); komise ústavu (7); učitelky učitele (7); ministr školství (7); deset procent (7); 1750 korun (7); roku 2017 (7); maturitu matematiky (7); učitelkami učiteli (7); návrh novely (7); zvaných dětských dluhů (7); půdě poslanecké sněmovny (7); průměrný plat učitele (7); placení dluhů dlužnímu (6); exekuce dětských dluhů (6); placení dluhů dlužnímu otroctví (6); ano placení dluhů (5); reformy financování regionálního (5); během tří let (5); zvýšení platů učitelů (5); učitelů 15 procent (5); kolegy poslanecké sněmovně (5); rodinné politiky 2019 (5); reformy financování regionálního školství (5); fórum rodinné politiky 2019 (5); nového předsedy školského (4); předsedy školského výboru (4); všem krásný den (4); dnešního kulatého stolu (4); dluhů dluhovému otroctví (4); nových dětských dluhů (4); rodiny dětmi seniory (4); exekuce očima povinného (4); době mého působení (4)
lubomir-volny,mrna gt (106); liberální demokraté (91); konspirační teorie (71); mí milí (52); liberálních demokratů (44); své děti (43); covidová mafie (35); covidové mafie (33); lubomír volný (32); nesouvisí nesouvisí (31); liberální demokrat (30); liberální demokracie (29); jo jo (28); liberální demokraty (28); nesouvisí nesouvisí nesouvisí (28); green deal (27); přesně takto (27); vakcína vakcína (27); volný blok (26); vakcína vakcína vakcína (26); nesouvisí nesouvisí nesouvisí nesouvisí (26); pane ryšavý (25); proti covidu (25); vakcína vakcína vakcína vakcína (25); nesouvisí nesouvisí nesouvisí nesouvisí nesouvisí (24); vakcína vakcína vakcína vakcína vakcína (24); nato eu (23); volného bloku (23); dnes již (23); ad hominem (22); liberálně demokratické (22); proti rusku (22); 000 000 (22); nord stream (21); milí liberální (21); roce 2019 (21); kyjevský režim (21); přeji příjemný (20); muslimští teroristé (20); milí liberální demokraté (20); jednoho dne (18); jejich děti (18); pane volný (18); mne osobně (18); covid 19 (17); eu švédsko (17); bombových útoků (17); ruský plyn (17); celé video (16); přesně podle (16); vy víte (16); den den (16); pane poslanče (16); 100 000 (16); lives matter (16); mí milí liberální (16); zcela určitě (15); kariérní komunista (15); prezidenta usa (15); vy osobně (15); new yorku (15); mohl bych (15); vše ostatní (15); sebe své (15); pozitivní diskriminace (15); just in (15); lepší lidé (15); nobelovy ceny (15); konspirační teorii (15); ústavní právo (15)
ludek-niedermayer,dle mého (27); mého soudu (21); dle mého soudu (20); pár desítek (19); společná evropa (16); dnešního světa (16); společné evropy (14); či dokonce (13); dnešním světě (12); společné evropě (12); ku prospěchu (12); pár měsíců (12); naši budoucnost (11); touto cestou (11); tvrdý brexit (11); docela dost (11); konflikt zájmu (11); aspoň trochu (11); první pohled (11); pana tykače (10); konfliktu zájmu (10); část lidí (10); velká část (10); bateriová auta (9); otázka zda (9); stovky miliard (9); spoustu lidí (9); panu premiérovi (9); uk eu (9); velké firmy (9); pan johnson (9); malých středních firem (6); pan andrej babiš (6); pět minut luďkem (6); klimatu životního prostředí (5); pan premiér andrej (5); top 09 starostové (5); 09 starostové nezávislí (5); zájmu pana premiéra (5); pan premiér andrej babiš (5); top 09 starostové nezávislí (5); holdingu pana tykače (4); věcí našeho státu (4); naší části světa (4); top 09 středočeský (4); 09 středočeský kraj (4); naší zahraniční politiky (4); dříve či později (4); coderdojo česká republika (4); desítky tisíc lidí (4); premiéra andrej babiš (4); život naší zemi (4); firmám pana premiéra (4); top 09 středočeský kraj (4); více či méně (3); dominancí některých technologií (3); některých technologií firem (3); technologií firem citlivých (3); firem citlivých oblastech (3); zase někdy příště (3); pár desítek hodin (3); podle mne velmi (3); naší společné evropy (3); svobodné demokratické společnosti (3); zdá více než (3); naše země úplně (3); svého nejlepšího nápadu (3); planetu naše děti (3); euro přijmeme zbohatneme (3); debatu můžete podívat (3)
lukas-wagenknecht,dotační podvod (15); převzetí státu (14); zákona střetu (9); svěřenských fondů (9); pana premiéra babiše (9); nezávislost veřejnoprávních (8); zájmů pana (8); podle zákona (8); čerpání dotací (7); pana šarocha (7); agent stb (7); veřejných zakázek (7); rop sz (7); auditní zprávy (7); monitorovací systém (7); nezávislost veřejnoprávních médií (7); premiéra jeho (6); rozpočtu eu (6); prokázaný dotační (6); auditních zpráv (6); evropského práva (6); dotačního podvodu (5); jednání pana (5); komise senátu (5); ministryně dostálová (5); zneužití pravomoci (5); state capture (5); našich daní (5); svěřenského fondu (5); pan pecka (5); trestné činnosti (5); evropského nařízení (5); sdělovací prostředky (5); střetu zájmů pana (5); malého středního podniku (4); veřejnoprávních médií čr (4); republiky hrubé porušení (4); paní ministryně dostálová (4); prokázaný dotační podvod (4); babiš střetu zájmů (4); jednání pana premiéra (4); mého volebního obvodu (4); stálá komise senátu (4); komise senátu sdělovací (4); senátu sdělovací prostředky (4); nezávislost veřejnoprávních médií čr (4); republiky hrubé porušení ústavy (4); stálá komise senátu sdělovací (4); komise senátu sdělovací prostředky (4); stálá komise senátu sdělovací prostředky (4); zákon střetu zájmů (3); definice malého středního (3); můžete sledovat online (3); manželky koaličního partnera (3); střet zájmů pana (3); liberální demokracii senátor (3); větší dotační podvod (3); dotační podvod než (3); korupce převzetí státu (3); jeho střetu zájmů (3); evidovaný agent stb (3); syna pana premiéra (3); soudní dvůr eu (3); prezidenta republiky hrubé (3); poskytnout auditní zprávy (3); založení svěřenských fondů (3); výnosů trestné činnosti (3); podle evropského nařízení (3); usnesení vyzývající vládu (3); vyzývající vládu spolupráci (3)
marek-vyborny,dofinancování sociálních (21); výborný pátek (16); ústavní ochranu (15); ochranu vody (13); ústavní ochranu vody (11); budu těšit (10); gymnázium pardubice (9); již zítra (8); heřmanově městci (8); pardubice mozartova (8); let věku (8); gymnázium pardubice mozartova (8); 4 let věku (8); musí platit (7); volebního zákona (7); roman línek (7); marian jurečka (7); zdanění náhrad (7); náhrad církvím (7); okresní konferenci (7); mladí lidovci (7); ústavní ochranu vody půdy (7); dvě miliardy (6); mnohem více (6); šárka jelínková (6); jednání sněmovny (6); dětmi 4 (6); partii primě (6); klidnou sílu (6); naši svobodu (6); miluše horská (6); podpora rodiny (5); ústavní stížnost (5); pardubice mozartova 449 (5); padni komu padni (5); přeji krásný víkend (5); zdanění náhrad církvím (5); aktuální politické situaci (5); gymnázium pardubice mozartova 449 (5); novelu volebního zákona (4); sociálních služeb rok (4); kandidáty evropského parlamentu (4); krásný víkend budu (4); víkend budu těšit (4); budu těšit zase (4); budu rád vaše (4); tomáš zdechovský michaela (4); zdechovský michaela šojdrová (4); miluše horská senátorka (4); horská senátorka pardubicko (4); senátorka pardubicko přeloučsko (4); pardubicko přeloučsko chlumecko (4); problémy pana premiéra (4); přeji krásný víkend budu (4); krásný víkend budu těšit (4); tomáš zdechovský michaela šojdrová (4); miluše horská senátorka pardubicko (4); horská senátorka pardubicko přeloučsko (4); senátorka pardubicko přeloučsko chlumecko (4); přeji krásný víkend budu těšit (4); miluše horská senátorka pardubicko přeloučsko (4); horská senátorka pardubicko přeloučsko chlumecko (4); musí platit všechny (3); zisk jednoho mandátu (3); přepočet hlasů mandáty (3); 21 tisíc hlasů (3); tisíc hlasů víc (3); hlasů víc než (3); víc než 5 (3); než 5 lety (3)
marek-zenisek,prezidenta zemana (6); 09 stan (6); novou dohodu (5); ta zlá (4); nový rok (4); horší než (4); volby ep (4); pořád stejní (4); svoji práci (4); hdp obranu (4); mil rusů (4); necelé tři (3); zejména pak (3); eu řekl (3); zlá eu (3); než ta (3); hlava státu (3); přesně takhle (3); kdyby nebylo (3); než teď (3); tradiční rodinu (3); předsedou vlády (3); té vládě (3); čínský velvyslanec (3); jedno jestli (3); sněm listopadu (3); dobře dopadlo (3); členství eu (3); ta zlá eu (3); ministr zahraničních věcí (3); dělá svoji práci (3); mil rusů nemá (3); necelé tři týdny (2); studenty důchodce stát (2); důchodce stát vyplatil (2); stát vyplatil dopravcům (2); eu novou dohodu (2); novou dohodu správně (2); dohodu správně odmítá (2); správně odmítá lepší (2); odmítá lepší totiž (2); lepší totiž vyjednat (2); totiž vyjednat nelze (2); ukáže takových bytů (2); předsedou evropské lidové (2); nehlasuje podle národnosti (2); tomto naprostou pravdu (2); pan staněk dobrý (2); staněk dobrý nástupce (2); kauzy čapí hnízdo (2); vloni začali bojovat (2); začali bojovat proti (2); bojovat proti drahým (2); proti drahým datům (2); drahým datům říkali (2); datům říkali určitě (2); říkali určitě nestane (2); čínský velvyslanec chová (2); velvyslanec chová mu (2); chová mu celá (2); mu celá čr (2); celá čr patřila (2); čr patřila obchází (2); patřila obchází politiky (2); obchází politiky vyhrožuje (2); politiky vyhrožuje jednou (2); vyhrožuje jednou kvůli (2); jednou kvůli praze (2); kvůli praze jindy (2); měl pochopit taiwan (2)
marian-jurecka,pozemkové úpravy (9); rozhodnutí soudu (7); kč ročně (7); ja myslím (6); benefiční koncert (6); investiční dotace (6); moji osobu (6); dej bůh (5); bůh štěstí (5); komise eu (5); čisté svědomí (5); zelenou naftu (5); člen vlády (5); žádné investiční (5); coby ministr (5); chcete levnější (5); dej bůh štěstí (5); mld kč ročně (5); žádné investiční dotace (5); hmotných rezerv (4); zjistěte fakta (4); dvě hodiny (4); dost mimo (4); roku 2013 (4); mohl pan (4); ondřeje závodského (4); masa polska (4); úplně mimo (4); koaliční vláda (4); tohoto státu (4); srdečně zvu (4); volební výsledek (4); zpětnou vazbu (4); ochrany vody půdy (3); předseda klubu ano (3); zákony rozhodnutí soudu (3); moji osobu trestní (3); osobu trestní oznámení (3); trestní oznámení díky (3); všem lidem dobré (3); lidem dobré vůle (3); pan ministr ťok (3); podat trestní oznámení (3); druhé třetí generace (3); stát ušetřil 2 (3); ušetřil 2 mld (3); moji osobu trestní oznámení (3); všem lidem dobré vůle (3); stát ušetřil 2 mld (3); ušetřil 2 mld kč (3); stát ušetřil 2 mld kč (3); ní hovořil premiér (2); klubu ano předseda (2); oproti roku 2013 (2); dvě mexické vlny (2); nerespektuje zákony rozhodnutí (2); nemám rád obstrukce (2); 130 průměrné mzdy (2); minulé koaliční vládě (2); hrát benefiční koncert (2); česká republika měla (2); prezident kdykoliv zastavit (2); my tykame ja (2); rozpočet pozemkové úpravy (2); dopravní infrastruktury čr (2); apple store praze (2); obě auta řídily (2); auta řídily ženy (2); mandát vzal sám (2); další benefiční koncert (2)
