Politician,Top 10 Unique N-grams
petr-hlubucek,centru prahy (8); zavedení mýta (7); vysokoemisní vozidla (7); vzduchu praze (6); plavební komory (5); vjet centra (4); ničit zdraví (4); jednání rady (4); smetanova nábřeží (4); jednání zastupitelstva (4); náměstek primátora (4); dnes praze (4); emisí co2 (4); nových stromů (4); ulicích prahy (3); rada schválila (3); praze druhý (3); druhý nejhorší (3); nejhorší republice (3); nezakazuje nikomu (3); nikomu vjet (3); centra města (3); kouřící auta (3); neustále ničit (3); dnes schváleno (3); praze nechceme (3); roku 2030 (3); zdraví pražanů (3); mýta vysokoemisní (3); záchranná stanice (3); další plavební (3); roce 2050 (3); mýto vysokoemisní (3); vysokoemisní vozidlo (3); dětského ostrova (3); rostlinného bioodpadu (3); rostlinný bioodpad (3); vzduchu praze druhý (3); praze druhý nejhorší (3); druhý nejhorší republice (3); nezakazuje nikomu vjet (3); nikomu vjet centra (3); neustále ničit zdraví (3); ničit zdraví pražanů (3); zavedení mýta vysokoemisní (3); mýta vysokoemisní vozidla (3); vzduchu praze druhý nejhorší (3); praze druhý nejhorší republice (3); nezakazuje nikomu vjet centra (3); zavedení mýta vysokoemisní vozidla (3); vzduchu praze druhý nejhorší republice (3); technického stavu (2); stavu vozidel (2); sebou také (2); dopravního podniku (2); dozorčí rady (2); mýto nezakazuje (2); auta měla (2); měla neustále (2); zdraví obyvatel (2); složky izs (2); topení uhlím (2); prahy pochází (2); turistů praze (2); bezpečnost pražanů (2); komunální politik (2); politik radní (2); schváleno radě (2); klimatický závazek (2); snížíme emise (2)
radek-vondracek,národní rady (21); předsedů parlamentů (18); národního shromáždění (16); andrej danko (15); parlamentů zemí (13); slovenské republiky (13); srbské republiky (12); ilegální migraci (12); můžete pustit (11); visegrádské skupiny (11); rozšíření eu (11); danko predseda (11); predseda sns (11); andrej danko predseda (11); danko predseda sns (11); andrej danko predseda sns (11); dolní sněmovny (10); cyrila metoděje (10); roce 1968 (10); výročí sametové (9); sametové revoluce (9); mě čeká (9); přijal pozvání (9); předsedů parlamentů zemí (9); zemí v4 (8); předsedou dolní (8); dolní komory (8); spolkového sněmu (8); summitu předsedů (8); wolfgang sobotka (8); hlavním městě (8); oficiální návštěva (8); vesnice roku (8); uctil památku (8); celý projev (7); projev můžete (7); diskutovali také (7); vzájemných vztahů (7); bezpečnostní situaci (7); geoffem reganem (7); komory parlamentu (7); prezident české (7); obchodní investiční (7); nový velvyslanec (7); přátel čr (7); senior parlamentu (7); památky obětí holocaustu (7); celý projev můžete (6); předseda národní rady (6); parlamentů zemí visegrádské (6); zemí visegrádské skupiny (6); soukromá audience papeže (6); audience papeže františka (6); summitu předsedů parlamentů (6); předsedou dolní sněmovny (6); parlamentů zemí visegrádské skupiny (6); soukromá audience papeže františka (6); výročí okupace československa (5); národní rady rakouska (5); spojení mezi prahou (5); obchodní investiční vztahy (5); projev můžete přečíst (5); vzniku samostatného československého (5); samostatného československého státu (5); předsedů parlamentů evropské (5); parlamentů evropské unie (5); dolní komory parlamentu (5); obětí holocaustu předcházení (5); holocaustu předcházení zločinům (5); předcházení zločinům proti (5)
radim-fiala,abychom dopadli (65); dopadli stejně (65); nelegální imigranti (59); západní evropa (56); našich hranic (52); stejně islamizovaná (50); islamizovaná západní (49); islamizovaná západní evropa (49); stejně islamizovaná západní (48); stejně islamizovaná západní evropa (48); vyjít ulici (46); dopadli stejně islamizovaná (46); abychom dopadli stejně islamizovaná (46); dopadli stejně islamizovaná západní (45); abychom dopadli stejně islamizovaná západní (45); dopadli stejně islamizovaná západní evropa (45); odmítáme masovou (44); odmítáme masovou imigraci (44); české občany (43); lidé bojí (42); imigraci požadujeme (41); masovou imigraci požadujeme (41); odmítáme masovou imigraci požadujeme (41); spd nechce (40); nechce abychom (40); bojí vyjít (40); požadujeme možnost (40); kontroly našich (40); sem nemohli (40); hnutí spd nechce (40); spd nechce abychom (40); nechce abychom dopadli (40); imigraci požadujeme možnost (40); hnutí spd nechce abychom (40); spd nechce abychom dopadli (40); nechce abychom dopadli stejně (40); masovou imigraci požadujeme možnost (40); hnutí spd nechce abychom dopadli (40); spd nechce abychom dopadli stejně (40); odmítáme masovou imigraci požadujeme možnost (40); mnohdy lidé (39); ulici nepobodali (39); nepobodali či (39); či nezavraždili (39); nezavraždili imigranti (39); imigranti odmítáme (39); možnost kontroly (39); hranic sem (39); nemohli dostat (39); dostat nelegální (39); imigranti teroristi (39); mnohdy lidé bojí (39); lidé bojí vyjít (39); bojí vyjít ulici (39); vyjít ulici nepobodali (39); ulici nepobodali či (39); nepobodali či nezavraždili (39); či nezavraždili imigranti (39); nezavraždili imigranti odmítáme (39); imigranti odmítáme masovou (39); požadujeme možnost kontroly (39); možnost kontroly našich (39); kontroly našich hranic (39); našich hranic sem (39); hranic sem nemohli (39); sem nemohli dostat (39); nemohli dostat nelegální (39); dostat nelegální imigranti (39); nelegální imigranti teroristi (39); mnohdy lidé bojí vyjít (39)
stanislav-blaha,hradiště žije (11); uherské hradiště (10); let revoluci (7); slavnosti vína (7); novoroční předsevzetí (5); dobré zprávy (5); zase jednou (5); jedno malé (5); celý svět (4); palce ať (4); slováckého divadla (4); přitom stačilo (4); lidé měli (4); našem regionu (4); letní filmová (4); filmová škola (4); škola uherské (4); uherského hradiště (4); výběr mýta (4); 1x tady (4); 5 měsíců (4); držte palce ať (4); letní filmová škola (4); filmová škola uherské (4); škola uherské hradiště (4); letní filmová škola uherské (4); filmová škola uherské hradiště (4); letní filmová škola uherské hradiště (4); ať vydrží (3); svůj byznys (3); celá země (3); kole vinohrady (3); dnes slaví (3); pravou nohou (3); měli připomínat (3); říkám pořád (3); domácí pálení (3); přesně důvod (3); jít nahoru (3); hradiště hraje (3); dan ťok (3); doby znal (3); znal naše (3); naše výrobky (3); výrobky celý (3); svět naši (3); naši lidé (3); měli úctu (3); úctu doma (3); doma zahraničí (3); zahraničí věřím (3); věřím zpět (3); babišem čele (3); čele státu (3); nepřekrucuje fakta (3); fakta sprostě (3); sprostě neuráží (3); neuráží své (3); své oponenty (3); doby znal naše (3); znal naše výrobky (3); naše výrobky celý (3); výrobky celý svět (3); celý svět naši (3); svět naši lidé (3); naši lidé měli (3); lidé měli úctu (3); měli úctu doma (3); úctu doma zahraničí (3); doma zahraničí věřím (3)
tomas-golan,ústavního soudu (17); zcela jistě (13); forum karlín (9); koncert paměť (8); daňových poradců (8); manželka jana (8); rozhodnutí ústavního (7); trestního stíhání (7); krajští zastupitelé (7); finanční ředitelství (7); senátní tisk (7); rozhodnutí ústavního soudu (7); čro plus (6); zákona státních (6); státních zástupcích (6); uherském hradišti (6); nejvyššího správního (6); jana skončila (6); třeba uvědomit (6); územní pracoviště (6); neomezená data (6); vysokých školách (6); zákona daních (6); daních příjmů (6); nejvyšší správní (6); správní soud (6); investiční pobídky (6); zákona státních zástupcích (6); manželka jana skončila (6); zákona daních příjmů (6); duše zpívej (5); zasedání ústavně (5); tato situace (5); zeleném salónku kolovratského (5); salónku kolovratského paláce (5); paměť národa 10 (5); národa 10 km (5); 10 km uherském (5); km uherském hradišti (5); komory daňových poradců (5); nejvyššího správního soudu (5); zlínský kraj czech (5); odvolací finanční ředitelství (5); akce česko svítí (5); česko svítí modře (5); schůze senátu parlamentu (5); soud české republiky (5); zeleném salónku kolovratského paláce (5); paměť národa 10 km (5); národa 10 km uherském (5); 10 km uherském hradišti (5); zlínský kraj czech republic (5); akce česko svítí modře (5); schůze senátu parlamentu čr (5); paměť národa 10 km uherském (5); národa 10 km uherském hradišti (5); senátu jiří růžička (4); místopředsedou senátu jiřím (4); senátu jiřím růžičkou (4); společného semináře komory (4); semináře komory daňových (4); daňových poradců finanční (4); poradců finanční správy (4); finanční správy soudců (4); správy soudců nejvyššího (4); soudců nejvyššího správního (4); správního soudu půdě (4); soudu půdě nss (4); malenovice okres zlín (4); projekt paměť národa (4)
tomas-macura,pane primátore (8); nové radnice (6); masarykovo náměstí (4); města ostravy (4); našeho města (4); integrovaná povolení (4); centru města (4); reklamní smog (4); projektu sametova (3); koksovně svoboda (3); nadlimitní čištění (3); již dříve (3); řeky ostravice (3); miloše sýkory (3); městský ateliér (3); roční koncentrace (3); veřejný prostor (3); černá kostka (3); útlum těžby (3); svůj střet (3); masarykova náměstí (3); fajnovy prostor (3); 17 hodin (3); paní náměstkyně (3); čtvrt století (3); architektonickou soutěž (3); parkovací domy (3); nové koncertní (3); koncertní haly (3); koncertní halu (3); svém profilu (3); nové koncertní haly (3); našem městě (2); takové excesy (2); ostravě město (2); pět milionů (2); 6 let (2); dříve než (2); celém městě (2); svůj vlastní (2); ostravy pár (2); velmi dobré (2); břeh řeky (2); mostu miloše (2); plánovat opravy (2); prostorového plánování (2); plánování architektury (2); náměstkyně primátora (2); bus cng (2); dalších 200 (2); 200 kol (2); velký příběh (2); generální ředitel (2); černou louku (2); krajsky urad (2); emitovaných škodlivin (2); kú msk (2); ekologické zátěže (2); cca 20 (2); průměrná roční (2); koncentrace prachu (2); břeh řeky ostravice (2); mostu miloše sýkory (2); prostorového plánování architektury (2); dalších 200 kol (2); průměrná roční koncentrace (2); roční koncentrace prachu (2); vážený pane macuro (2); vyřešil svůj střet (2); zpřísnil integrovaná povolení (2)
tomas-martinek,let starý (62); pět let starý (61); starý příspěvek (59); let starý příspěvek (59); pět let starý příspěvek (58); reagujete pět (57); reagujete pět let (57); reagujete pět let starý (57); reagujete pět let starý příspěvek (54); víte reagujete (41); víte reagujete pět (40); víte reagujete pět let (40); víte reagujete pět let starý (40); tomáš martínek (7); českého rozhlasu (7); tajné volbě (6); české lípě (5); nabytí nemovitých (5); nemovitých věcí (5); ano spd (5); michal semín (5); so orp (5); volební systém (5); radě čtk (5); přesný opak (4); mediálního prostoru (4); jeden konkrétní (4); orp turnov (4); poměrného zastoupení (4); členů rady (4); proti tajné (4); dole turów (4); mediální gramotnosti (4); premiérovi babišovi (4); veřejnoprávní média (4); nevolenou stranu (4); rady českého (4); so orp turnov (4); proti tajné volbě (4); rady českého rozhlasu (4); hlasů než (3); zavádějící informace (3); zavádějících informací (3); delší dobu (3); tv nova (3); čt rok (3); středoškolské matematiky (3); nejvíc hlasů (3); jedná pět (3); veřejných peněz (3); mediální prostor (3); česká pirátská (3); pirátská strana (3); již nyní (3); vkládána úst (3); nominační zákon (3); piráti schválení (3); schválení zpráv (3); vládní návrh (3); konkrétní příklad (3); podle všeho (3); šedou zónu (3); rozšíření těžby (3); polském dole (3); ústavních činitelů (3); všem ostatním (3); demokratických voleb (3); jedná pět let (3); piráti schválení zpráv (3); jeden konkrétní příklad (3)
tomas-prouza,dvojí kvalitu (14); cestovního ruchu (10); svazu obchodu (9); dvojí kvality (8); kvalitu potravin (8); ministerstvo zemědělství (8); obchodu cestovního (8); obchodu cestovního ruchu (8); český trh (7); dál víc (7); nejvyšší čas (7); portfolio věry (7); ministr zemědělství (7); naprostá většina (7); portfolio věry jourové (7); svazu obchodu cestovního (7); svazu obchodu cestovního ruchu (7); český premiér (6); zajímavý rozhovor (6); zákona významné (6); významné tržní (6); tržní síle (6); obchodní řetězce (6); pane prouzo (6); digitalizaci obchodu (6); ruchu čr (6); kvality potravin (6); zákona významné tržní (6); významné tržní síle (6); zákona významné tržní síle (6); nová šéfka (5); šéfka komise (5); britská vláda (5); potravinové sbírky (5); členem představenstva (5); stojí přečtení (5); díky pozvání (5); slevové akce (5); lépe než (5); zajímavá debata (5); věra jourová (5); nová šéfka komise (5); cestovního ruchu čr (5); obchodu cestovního ruchu čr (5); evropskými volbami (4); každá země (4); velmi zajímavý rozhovor (4); vůči konečnému spotřebiteli (4); cenu digitalizaci obchodu (4); prezident svazu obchodu (4); svazu obchodu cestovního ruchu čr (4); novely zákona významné (3); rukou ministra průmyslu (3); 350 milionů liber (3); milionů liber týdně (3); řešení dvojí kvality (3); silné ekonomické portfolio (3); novely zákona významné tržní (3); rukou ministra průmyslu obchodu (3); 350 milionů liber týdně (3); prezident svazu obchodu cestovního (3); novely zákona významné tržní síle (3); prezident svazu obchodu cestovního ruchu (3); kvalita potravin velkým (2); potravin velkým tématem (2); šíření poplašné zprávy (2); mě teda dost (2); mockrát děkuji vážím (2); nebojte my starší (2); my starší zkušenější (2)
tomas-zdechovsky,europoslanec tomáš (5); europoslanec tomáš zdechovský (5); ruská propaganda (4); nevím zda (4); zájmů českého (3); jiří čunek (3); trochu jinak (3); pane zdechovský (3); zájmů českého premiéra (3); myslím dobře (2); článek 8 (2); 2x ročně (2); podle soudu (2); dobře víte (2); řada lidí (2); my tykame (2); přeju ať (2); katolické církve (2); sovětský svaz (2); pravý čas (2); přeji vše (2); zemich eu (2); úplně jinak (2); roger scruton (2); prvním místě (2); parlamentu štrasburku (2); johannes hahn (2); podle kterého (2); dobré jméno (2); dnes vyrazili (2); 32 let (2); let ministryně (2); 34 let (2); hodně dlouho (2); misto abyste (2); abyste zakazali (2); zakazali podobne (2); podobne praktiky (2); praktiky date (2); date ceduli (2); ceduli ma (2); ma logiku (2); vláda pata (2); pata mata (2); kudlu zad (2); všechny tři (2); sir roger (2); kandidovat předsedu (2); udelali chybu (2); opravdu nemyslím (2); pár pokut (2); pokut podmínka (2); podmínka pak (2); pak lidé (2); lidé diví (2); diví otcové (2); otcové páchají (2); přeji vše nejlepší (2); evropském parlamentu štrasburku (2); misto abyste zakazali (2); abyste zakazali podobne (2); zakazali podobne praktiky (2); podobne praktiky date (2); praktiky date ceduli (2); date ceduli ma (2); ceduli ma logiku (2); vláda pata mata (2); pár pokut podmínka (2); pokut podmínka pak (2); podmínka pak lidé (2)
tomio-okamura,našeho hnutí (2273); přímá demokracie (2181); svoboda přímá (2115); svoboda přímá demokracie (2114); hnutí svoboda (2098); hnutí svoboda přímá (2097); demokracie spd (2025); přímá demokracie spd (2021); svoboda přímá demokracie spd (2021); hnutí svoboda přímá demokracie spd (2016); napište komentářů (1744); naše hnutí (1691); názory našeho (1687); názory našeho hnutí (1687); prosím sdílejte (1528); vy napište (1494); myslíte vy napište (1481); vy napište komentářů (1476); myslíte vy napište komentářů (1467); sledujte také (1324); souhlasíte prosím (1323); souhlasíte prosím sdílejte (1321); komentářů jestli (1225); petra fialy (1225); napište komentářů jestli (1224); mnou souhlasíte (1218); vy napište komentářů jestli (1218); myslíte vy napište komentářů jestli (1218); jestli mnou (1217); jestli mnou souhlasíte (1216); našeho hnutí svoboda (1216); našeho hnutí svoboda přímá (1216); našeho hnutí svoboda přímá demokracie (1216); mnou souhlasíte prosím (1208); jestli mnou souhlasíte prosím (1207); mnou souhlasíte prosím sdílejte (1207); jestli mnou souhlasíte prosím sdílejte (1206); komentářů jestli mnou (1158); napište komentářů jestli mnou (1158); komentářů jestli mnou souhlasíte (1157); napište komentářů jestli mnou souhlasíte (1157); vy napište komentářů jestli mnou (1155); komentářů jestli mnou souhlasíte prosím (1154); sdílejte ať (1108); prosím sdílejte ať (1104); nejvíce lidí (1091); souhlasíte prosím sdílejte ať (1066); mnou souhlasíte prosím sdílejte ať (1064); dozví nejvíce (1061); dozví nejvíce lidí (1061); ať názory (1041); spd dozví (1041); sdílejte ať názory (1041); ať názory našeho (1041); spd dozví nejvíce (1041); prosím sdílejte ať názory (1041); sdílejte ať názory našeho (1041); ať názory našeho hnutí (1041); názory našeho hnutí svoboda (1041); spd dozví nejvíce lidí (1041); souhlasíte prosím sdílejte ať názory (1041); prosím sdílejte ať názory našeho (1041); sdílejte ať názory našeho hnutí (1041); názory našeho hnutí svoboda přímá (1041); demokracie spd dozví (1037); přímá demokracie spd dozví (1037); demokracie spd dozví nejvíce (1037); ať názory našeho hnutí svoboda (1037); svoboda přímá demokracie spd dozví (1037); přímá demokracie spd dozví nejvíce (1037)
vaclav-klaus,zuzana majerová (7); hezkou neděli (6); beseda občany (5); včera večer (5); nové strany (5); ustavující sněm (5); komunální volby (5); místní organizace (5); pátek večer (5); milí lidé (5); svobody slova (5); svobodě slova (4); přišel čas (4); veřejného mínění (4); bohatství vzniká (4); vzniká práce (4); činorodé lidi (4); sněm trikolóra (4); krátký sestřih (4); jezdíme okresem (4); opakované komunální (4); budeme hájit (4); pár slov (4); našem programu (4); vtip internetu (4); každé pondělí (4); dnes jezdíme (4); tady peci (4); bohatství vzniká práce (4); opakované komunální volby (4); hezký den všem (4); programu trikolóra (3); bych měl (3); zemi zpátky (3); naše názory (3); svobodných lidí (3); braňme normální (3); stará fotka (3); poslankyně majerová (3); foto 2 (3); peníze mají (3); mají lidé (3); včera křižovali (3); mohu mluvit (3); našim předkům (3); své názory (3); miliony korun (3); volby strakonicích (3); rubrika vtip (3); zapálit svíčku (3); teď mne (3); pár fotek (3); mistr republiky (3); dnes ráno (3); zvyšuje daně (3); peníze mají lidé (3); rubrika vtip internetu (3); dnes jezdíme okresem (3); nedostatkem bystré mysli (3); zákonu svobodě slova (2); ivana kerlesová trikolóra (2); kerlesová trikolóra jižní (2); trikolóra jižní čechy (2); nevěřím předurčení osud (2); předurčení osud ovládá (2); osud ovládá historii (2); ovládá historii vývoj (2); historii vývoj společnosti (2); vývoj společnosti věřím (2); společnosti věřím osud (2)
vit-rakusan,starostové nezávislí (28); hnutí stan (15); jan farský (10); vít rakušan (10); milion chvilek (8); chvilek demokracii (8); věra kovářová (7); milion chvilek demokracii (7); středočeského kraje (6); neziskový sektor (6); pavel čížek (5); cesta krajinu (5); kovářová železná (5); mnoho lidí (5); kutné hoře (5); václava moravce (5); mikuláš bek (5); rozum hrsti (5); ano ksčm (5); věra kovářová železná (5); projekt 1000 (4); 1000 1 (4); 1 cesta (4); 1000 1 cesta (4); 1 cesta krajinu (4); vlády české republiky (4); slibovali nebudou zvyšovat (4); vzít rozum hrsti (4); 1000 1 cesta krajinu (4); spustili projekt 1000 (3); projekt 1000 1 (3); budu rád budete (3); dnes budu hostem (3); problémy problémy svého (3); lidí české republice (3); více než jindy (3); hnutí starostové nezávislí (3); dotací skupiny agrofert (3); bych rád kdyby (3); funkce člena rady (3); petr gazdík mikuláš (3); gazdík mikuláš bek (3); nebudou zvyšovat daně (3); slibovali líp zatím (3); líp zatím líp (3); zatím líp jim (3); líp jim konečně (3); jim konečně měl (3); konečně měl vzít (3); měl vzít rozum (3); otevřený dopis premiérovi (3); spustili projekt 1000 1 (3); projekt 1000 1 cesta (3); petr gazdík mikuláš bek (3); slibovali nebudou zvyšovat daně (3); slibovali líp zatím líp (3); líp zatím líp jim (3); zatím líp jim konečně (3); líp jim konečně měl (3); jim konečně měl vzít (3); konečně měl vzít rozum (3); měl vzít rozum hrsti (3); spustili projekt 1000 1 cesta (3); projekt 1000 1 cesta krajinu (3); slibovali líp zatím líp jim (3); líp zatím líp jim konečně (3); zatím líp jim konečně měl (3); líp jim konečně měl vzít (3); jim konečně měl vzít rozum (3); konečně měl vzít rozum hrsti (3)
vladimir-kremlik,nového mýtného (39); mýtný systém (31); dopravní hlášení (28); nový mýtný (21); nový mýtný systém (21); vodních cest (18); spuštění nového (17); nového systému (17); dálnice d1 (16); mezi prahou (15); tisíc vozidel (14); ředitelství vodních (13); dopravní stavby (13); dálnice d3 (13); silnicích třídy (13); ředitelství vodních cest (13); negrelliho viaduktu (12); roku 2021 (12); nových dálnic (12); úsek dálnice (12); ministerstvu dopravy (11); celé republice (11); prodloužená rudná (11); našich silnicích (11); spuštění nového mýtného (11); spuštění nového mýtného systému (11); palubních jednotek (10); část obchvatu (10); státní plavební (10); generálním ředitelem (10); všechny dopravce (10); modernizace trati (9); zvýší bezpečnost (9); celkové délce (9); dopravní omezení (9); českých dálnicích (9); roku 2022 (9); zahájili stavbu (9); poslední chvíli (9); výběru mýta (9); mém facebookovém (8); facebookovém profilu (8); železniční stanice (8); dlouhý úsek (8); mém facebookovém profilu (8); kdyby cokoliv dopravy (8); cokoliv dopravy zajímalo (8); dopravy zajímalo neváhejte (8); zajímalo neváhejte napsat (8); státního fondu dopravní (8); fondu dopravní infrastruktury (8); vodních cest české (8); cest české republiky (8); kdyby cokoliv dopravy zajímalo (8); cokoliv dopravy zajímalo neváhejte (8); dopravy zajímalo neváhejte napsat (8); ředitelství vodních cest české (8); vodních cest české republiky (8); kdyby cokoliv dopravy zajímalo neváhejte (8); cokoliv dopravy zajímalo neváhejte napsat (8); ředitelství vodních cest české republiky (8); neváhejte napsat tady (7); napsat tady facebooku (7); prague airport letiště (7); zajímalo neváhejte napsat tady (7); neváhejte napsat tady facebooku (7); dopravy zajímalo neváhejte napsat tady (7); zajímalo neváhejte napsat tady facebooku (7); spuštění nového systému (6); airport letiště praha (6)
zdenek-hrib,dopravu adam (20); adam zábranský (17); smart city (14); metra d (12); hanka trestikova (11); podnik hlavního (11); petr hlaváček (11); dopravní podnik hlavního (11); podnik hlavního města (11); dopravní podnik hlavního města (11); podnik hlavního města prahy (11); dopravní podnik hlavního města prahy (11); václavské náměstí (10); jan chabr (10); pavel vyhnánek (10); dobrou práci (9); městských částí (9); městských bytů (9); trojské lávky (9); milionů kč (8); jelení příkop (8); vyhlášky buskingu (8); praha 1 (8); náměstek dopravu (8); pivní kola (8); bydlení adam (8); radní bydlení (8); vít šimral (8); metro d (8); bydlení adam zábranský (8); říká radní (7); institut plánování (7); plánování rozvoje (7); rozvoje prahy (7); prahy ipr (7); dopravní náměstek (7); náměstek dopravu adam (7); institut plánování rozvoje (7); plánování rozvoje prahy (7); rozvoje prahy ipr (7); institut plánování rozvoje prahy (7); plánování rozvoje prahy ipr (7); institut plánování rozvoje prahy ipr (7); 100 milionů (6); mě názor (6); veřejném prostoru (6); kulturu hanka (6); milion stromů (6); městské byty (6); jeleního příkopu (6); roku 2020 (6); pražský primátor (6); bydlení praze (6); stavby metra (6); karlův most (6); prahu pražany (6); budeme rádi (6); mariánském náměstí (6); náměstkem dopravu (6); úřednické ghetto (6); scheinherr dopravní (6); mariánského sloupu (6); zajímá mě názor (6); kulturu hanka trestikova (6); adam scheinherr dopravní (6); scheinherr dopravní podnik (6); náměstek dopravu adam scheinherr (6); adam scheinherr dopravní podnik (6); scheinherr dopravní podnik hlavního (6); adam scheinherr dopravní podnik hlavního (6)
zuzana-majerova-zahradnikova,kraj czech (13); všem přišli (13); všem krásný (12); prvé řadě (9); příznivci trikolóra (9); vodní pólo (8); neposlední řadě (8); sk up (7); up olomouc (7); olomouc vodní (7); olomoucký kraj (7); závěrečná beseda (7); registrovaných příznivců (7); příznivců trikolóra (7); přišli popovídat (7); skvělou organizaci (7); sk up olomouc (7); up olomouc vodní (7); olomouc vodní pólo (7); sk up olomouc vodní (7); up olomouc vodní pólo (7); sk up olomouc vodní pólo (7); olomouc hc (6); místních organizací (6); našem olomouckém (6); dalibor horák (6); original play (6); poslanecká kancelář (6); kancelář zuzany (6); zuzany majerové (6); majerové zahradníkové (6); martin šnévajs (6); strpění cizince (6); norbert hlaváček (6); organizaci dne (6); muže ženy (6); skupiny přátel (6); také všem (6); krajskému koordinátorovi (6); poslanecká kancelář zuzany (6); kancelář zuzany majerové (6); zuzany majerové zahradníkové (6); olomoucký kraj czech (6); poslanecká kancelář zuzany majerové (6); kancelář zuzany majerové zahradníkové (6); olomoucký kraj czech republic (6); poslanecká kancelář zuzany majerové zahradníkové (6); hc kohouti (5); kohouti olomouc (5); hc mora (5); mora olomouc (5); perfektní organizaci (5); institut strpění (5); velka bystrice (5); bystrice olomoucký (5); hc kohouti olomouc (5); hc mora olomouc (5); našem olomouckém kraji (5); institut strpění cizince (5); velka bystrice olomoucký (5); bystrice olomoucký kraj (5); jihomoravký kraj czech (5); velka bystrice olomoucký kraj (5); bystrice olomoucký kraj czech (5); jihomoravký kraj czech republic (5); velka bystrice olomoucký kraj czech (5); bystrice olomoucký kraj czech republic (5); olomouc hc mora (4); přeji všem krásnou (4); projednáváme novelu zákona (4)
